AREA_TITLE,OCC_CODE,OCC_TITLE,TOT_EMP,H_PCT25,H_MEDIAN,H_PCT75,H_MEAN,A_MEDIAN,A_MEAN
"Boulder, CO",00-0000,All Occupations,195570,22.02,32.46,52.18,44.51,67510,92590
"Boulder, CO",11-1021,General and Operations Managers,3100,47.34,71.06,107.68,86.59,147810,180110
"Boulder, CO",11-2021,Marketing Managers,660,67.73,83.05,106.1,91.07,172740,189430
"Boulder, CO",11-3021,Computer and Information Systems Managers,1350,79.569999999999993,97.24,#,105.34,202270,219100
"Boulder, CO",11-9199,"Managers, All Other",1080,67.8,83.41,106.75,89.99,173490,187180
"Boulder, CO",13-1082,Project Management Specialists,2540,46.78,60.56,76.08,61.34,125960,127600
"Boulder, CO",13-1111,Management Analysts,780,36.9,51.28,67.290000000000006,56.42,106660,117360
"Boulder, CO",13-1121,"Meeting, Convention, and Event Planners",390,24.92,32.49,43.35,36.35,67570,75600
"Boulder, CO",13-2011,Accountants and Auditors,2340,35.9,45.41,59.61,49.07,94450,102070
"Boulder, CO",15-1211,Computer Systems Analysts,**,53.67,63.6,76.760000000000005,67.48,132290,140360
"Boulder, CO",15-1244,Network and Computer Systems Administrators,800,42.74,52.56,63.61,54.12,109320,112580
"Boulder, CO",15-1252,Software Developers,7790,59.29,76.760000000000005,99.51,89.55,159670,186270
"Boulder, CO",15-1254,Web Developers,**,29.33,47.08,60.72,48.81,97930,101530
"Boulder, CO",15-1255,Web and Digital Interface Designers,430,47.67,64.599999999999994,82.72,81.86,134360,170270
"Boulder, CO",17-2199,"Engineers, All Other",480,51.97,63.61,80.64,66.75,132300,138840
"Boulder, CO",21-1099,"Community and Social Service Specialists, All Other",470,22.23,27.06,31.86,28.54,56280,59370
"Boulder, CO",25-3021,Self-Enrichment Teachers,1040,17.23,21.08,28.68,24.16,43840,50250
"Boulder, CO",27-1024,Graphic Designers,530,28.63,31.49,43.26,37.04,65490,77040
"Boulder, CO",27-3031,Public Relations Specialists,**,30.72,43.27,55.5,50.6,90000,105260
"Boulder, CO",27-3042,Technical Writers,280,33.909999999999997,47.95,52.33,52.18,99740,108520
"Boulder, CO",43-3031,"Bookkeeping, Accounting, and Auditing Clerks",1520,23.3,27.98,31.27,28.28,58210,58820
"Boulder, CO",43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",1610,20.3,23.84,29.19,24.91,49580,51800
"Denver-Aurora-Centennial, CO",00-0000,All Occupations,1618390,21.11,29.38,46.73,38.450000000000003,61110,79980
"Denver-Aurora-Centennial, CO",11-1021,General and Operations Managers,24070,44.52,66.319999999999993,97.51,82.21,137950,171000
"Denver-Aurora-Centennial, CO",11-2021,Marketing Managers,4210,67.88,84.66,105.52,91.91,176100,191160
"Denver-Aurora-Centennial, CO",11-3021,Computer and Information Systems Managers,8510,77.27,88,105.64,94.22,183050,195980
"Denver-Aurora-Centennial, CO",11-9199,"Managers, All Other",8970,65.31,80.88,99.75,85.77,168230,178400
"Denver-Aurora-Centennial, CO",13-1082,Project Management Specialists,20230,41.75,52.87,66.010000000000005,56.83,109970,118210
"Denver-Aurora-Centennial, CO",13-1111,Management Analysts,11260,38.78,50.32,67.900000000000006,56.31,104660,117120
"Denver-Aurora-Centennial, CO",13-1121,"Meeting, Convention, and Event Planners",2560,24.44,30.64,39.94,33.69,63740,70070
"Denver-Aurora-Centennial, CO",13-2011,Accountants and Auditors,23290,36.08,46,60.45,49.37,95680,102690
"Denver-Aurora-Centennial, CO",15-1211,Computer Systems Analysts,4510,47.7,59.11,70.260000000000005,60.39,122950,125600
"Denver-Aurora-Centennial, CO",15-1244,Network and Computer Systems Administrators,4980,40.4,50.72,61.75,52.23,105490,108630
"Denver-Aurora-Centennial, CO",15-1252,Software Developers,31190,51.82,64.48,80.319999999999993,68.53,134120,142530
"Denver-Aurora-Centennial, CO",15-1254,Web Developers,**,36.53,53.07,54.64,52.18,110380,108530
"Denver-Aurora-Centennial, CO",15-1255,Web and Digital Interface Designers,1720,40.83,50.39,66.88,54.59,104810,113550
"Denver-Aurora-Centennial, CO",17-2199,"Engineers, All Other",1400,46.42,57.11,70.25,59.04,118790,122810
"Denver-Aurora-Centennial, CO",21-1099,"Community and Social Service Specialists, All Other",3290,23.54,28.7,33.54,30.06,59700,62520
"Denver-Aurora-Centennial, CO",25-3021,Self-Enrichment Teachers,5040,17.2,21.04,25.35,23.67,43770,49220
"Denver-Aurora-Centennial, CO",27-1024,Graphic Designers,2900,27.45,35.840000000000003,40.65,36.49,74540,75900
"Denver-Aurora-Centennial, CO",27-3031,Public Relations Specialists,4460,29.76,37.270000000000003,48.13,45.18,77530,93980
"Denver-Aurora-Centennial, CO",27-3042,Technical Writers,1110,42.04,50.48,51.38,50.31,104990,104640
"Denver-Aurora-Centennial, CO",43-3031,"Bookkeeping, Accounting, and Auditing Clerks",12270,23.37,27.86,31.77,28.49,57940,59270
"Denver-Aurora-Centennial, CO",43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",15370,21.15,23.76,27.79,24.56,49420,51080
Colorado,00-0000,All Occupations,2891210,19.91,27.99,42.45,36.33,58210,75560
Colorado,11-1021,General and Operations Managers,43140,41.66,62.66,90.53,77.47,130340,161130
Colorado,11-2021,Marketing Managers,6230,66.5,83.36,104.67,90.29,173390,187810
Colorado,11-3021,Computer and Information Systems Managers,12450,73.81,86.66,105.31,93.39,180240,194260
Colorado,11-9199,"Managers, All Other",13710,62.33,78.849999999999994,98.86,82.72,164010,172050
Colorado,13-1082,Project Management Specialists,31810,40.21,51.43,65.599999999999994,55.73,106960,115920
Colorado,13-1111,Management Analysts,14940,38.090000000000003,50.48,67.400000000000006,55.99,104990,116450
Colorado,13-1121,"Meeting, Convention, and Event Planners",4590,23.29,29.95,38.65,32.619999999999997,62290,67860
Colorado,13-2011,Accountants and Auditors,35580,34.270000000000003,43.28,57.44,47.7,90030,99220
Colorado,15-1211,Computer Systems Analysts,7130,47.71,59.62,72.83,61.09,124010,127060
Colorado,15-1244,Network and Computer Systems Administrators,8900,39.82,49.81,59.83,51.11,103600,106300
Colorado,15-1252,Software Developers,48980,51.82,64.680000000000007,80.83,71.040000000000006,134540,147750
Colorado,15-1254,Web Developers,**,34.31,48.92,54.64,49.35,101760,102650
Colorado,15-1255,Web and Digital Interface Designers,2740,39.840000000000003,49.99,66.88,57.34,103990,119260
Colorado,17-2199,"Engineers, All Other",2610,47,60.25,73,60.49,125330,125810
Colorado,21-1099,"Community and Social Service Specialists, All Other",6040,22.27,27.26,32.17,28.53,56700,59330
Colorado,25-3021,Self-Enrichment Teachers,9490,17.010000000000002,20.86,26.09,23.52,43380,48920
